Date,CAPE
2021-12-25,9.550619
2021-12-26,19.774578
2021-12-27,46.18808
2021-12-28,112.028564
2021-12-29,115.07734
2021-12-30,14.48029
2021-12-31,0.30433005
2022-01-01,0.12806372
2022-01-02,0.014842048
2022-01-03,0.00708061
2022-01-04,0.012391067
2022-01-05,0.03125
2022-01-06,0.016884532
2022-01-07,0.0056508714
2022-01-08,1.103656
2022-01-09,50.350933
2022-01-10,62.647842
2022-01-11,130.29984
2022-01-12,101.39423
2022-01-13,2.1616285
2022-01-14,16.538603
2022-01-15,2.8458266
2022-01-16,0.26363358
2022-01-17,0.010110294
2022-01-18,0.08435457
2022-01-19,0.025599128
2022-01-20,12.590584
2022-01-21,36.03891
2022-01-22,45.8845
2022-01-23,71.864685
2022-01-24,52.097767
2022-01-25,21.06194
2022-01-26,7.305385
2022-01-27,0.18361928
2022-01-28,0.324023
2022-01-29,0.007182734
2022-01-30,0.00020424837
2022-01-31,0.00034041394
2022-02-01,0.14077818
2022-02-02,1.0478963
2022-02-03,87.55431
2022-02-04,214.52354
2022-02-05,2.3810253
2022-02-06,0.0013276144
2022-02-07,0.00044253812
2022-02-08,0.07198053
2022-02-09,24.925245
2022-02-10,23.51023
2022-02-11,0.13102533
2022-02-12,0.0
2022-02-13,0.00013616557
2022-02-14,0.0
2022-02-15,0.0062295753
2022-02-16,0.13146786
2022-02-17,0.070159316
2022-02-18,0.006535948
2022-02-19,0.93399376
2022-02-20,7.573223
2022-02-21,0.0670275
2022-02-22,0.06144472
2022-02-23,7.8506947
2022-02-24,344.10446
2022-02-25,336.64322
2022-02-26,63.793537
2022-02-27,551.94836
2022-02-28,87.135315
2022-03-01,127.56478
2022-03-02,23.38991
2022-03-03,3.9239175
2022-03-04,0.60389435
2022-03-05,0.2815904
2022-03-06,0.0010212419
2022-03-07,0.057938453
2022-03-08,0.038977396
2022-03-09,0.0
2022-03-10,0.008918845
2022-03-11,0.017122822
2022-03-12,0.012731481
